,Province,% Renwables,GDP US$,Available?
0,Sichuan,0.804,847.68,Yes
1,Yunnan,0.775,427.33,Yes
2,Qinghai,0.771,52.68,Yes
3,Gansu,0.469,161.24,Yes
4,Hunan,0.464,725.09,Yes
5,Chongqing,0.455,439.09,Yes
6,Guangxi,0.431,389.45,Yes
7,Hubei,0.415,787.27,Yes
8,Guizhou,0.361,308.32,Yes
9,Shanghai,0.319,680.27,Yes
10,Jilin,0.299,208.35,Yes
11,Jiangxi,0.293,466.25,Yes
12,Henan,0.29,926.97,Yes
13,Guangdong,0.29,"1,947.15",Yes
14,Ningxia Hui,0.288,71.19,Yes
15,Shaanxi,0.267,469.11,Yes
16,Shanxi,0.249,355.6,Yes
17,Nei Mongol,0.241,322.92,Yes
18,Heilongjiang,0.233,234.22,Yes
19,Xinjiang,0.202,251.6,Yes
20,Beijing,0.198,633.9,Yes
21,Tianjin,0.195,247.06,Yes
22,Anhui,0.193,676.23,Yes
23,Liaoning,0.191,434.21,Yes
24,Fujian,0.19,768.34,Yes
25,Zhejiang,0.189,"1,157.23",Yes
26,Jiangsu,0.186,"1,831.73",Yes
27,Hebei,0.176,635.81,Yes
28,Hainan,0.175,101.92,Yes
29,Shandong,0.158,"1,308.04",Yes
30,Xizang,0,32.75,No
