,Province,% Renwables,GDP US$
0,Sichuan,0.804,847.68
1,Yunnan,0.775,427.33
2,Qinghai,0.7709999999999999,52.68
3,Gansu,0.469,161.24
4,Hunan,0.46399999999999997,725.09
5,Chongqing,0.455,439.09
6,Guangxi,0.431,389.45
7,Hubei,0.415,787.27
8,Guizhou,0.361,308.32
9,Shanghai,0.319,680.27
10,Jilin,0.299,208.35
11,Jiangxi,0.293,466.25
12,Henan,0.29,926.97
13,Guangdong,0.29,"1,947.15"
14,Ningxia,0.28800000000000003,71.19
15,Shaanxi,0.267,469.11
16,Shanxi,0.249,355.60
17,Nei Mongol,0.24100000000000002,322.92
18,Heilongjiang,0.233,234.22
19,Xinjiang,0.20199999999999999,251.60
20,Beijing,0.198,633.90
21,Tianjin,0.195,247.06
22,Anhui,0.193,676.23
23,Liaoning,0.191,434.21
24,Fujian,0.19,768.34
25,Zhejiang,0.18899999999999997,"1,157.23"
26,Jiangsu,0.18600000000000003,"1,831.73"
27,Hebei,0.17600000000000002,635.81
28,Hainan,0.175,101.92
29,Shandong,0.158,"1,308.04"
