,Province,Type,value,targ,category
0,Anhui,% Of Energy From Renewables,0.193,Yes,0
1,Anhui,ems_pct,0.031001899169259,Yes,3
2,Anhui,GDP US$ in Billions,676.23,Yes,2
3,Anhui,2012 CO2 Emissions Millions of Tonnes,266.08,Yes,1
4,Beijing,% Of Energy From Renewables,0.198,Yes,0
5,Beijing,2012 CO2 Emissions Millions of Tonnes,82.94,Yes,1
6,Beijing,ems_pct,0.009663625665583,Yes,3
7,Beijing,GDP US$ in Billions,633.9,Yes,2
8,Chongqing,% Of Energy From Renewables,0.455,Yes,0
9,Chongqing,GDP US$ in Billions,439.09,Yes,2
10,Chongqing,2012 CO2 Emissions Millions of Tonnes,109.0,Yes,1
11,Chongqing,ems_pct,0.012699966211099,Yes,3
12,Fujian,GDP US$ in Billions,768.34,Yes,2
13,Fujian,ems_pct,0.0236557260535728,Yes,3
14,Fujian,2012 CO2 Emissions Millions of Tonnes,203.03,Yes,1
15,Fujian,% Of Energy From Renewables,0.19,Yes,0
16,Gansu,2012 CO2 Emissions Millions of Tonnes,140.75,No,1
17,Gansu,GDP US$ in Billions,161.24,No,2
18,Gansu,% Of Energy From Renewables,0.469,No,0
19,Gansu,ems_pct,0.0163992682955247,No,3
20,Guangdong,GDP US$ in Billions,1947.15,Yes,2
21,Guangdong,ems_pct,0.0557481911286658,Yes,3
22,Guangdong,% Of Energy From Renewables,0.29,Yes,0
23,Guangdong,2012 CO2 Emissions Millions of Tonnes,478.47,Yes,1
24,Guangxi,2012 CO2 Emissions Millions of Tonnes,158.55,Yes,1
25,Guangxi,GDP US$ in Billions,389.45,Yes,2
26,Guangxi,ems_pct,0.0184732077318326,Yes,3
27,Guangxi,% Of Energy From Renewables,0.431,Yes,0
28,Guizhou,GDP US$ in Billions,308.32,Yes,2
29,Guizhou,% Of Energy From Renewables,0.361,Yes,0
30,Guizhou,ems_pct,0.0254873175108066,Yes,3
31,Guizhou,2012 CO2 Emissions Millions of Tonnes,218.75,Yes,1
