,Series ID,Year,Value,LOCATION
0,All,1948,58.6,USA
1,All,1949,58.7,USA
2,All,1950,58.9,USA
3,All,1951,59.1,USA
4,All,1952,59.5,USA
5,All,1953,59.5,USA
6,All,1954,58.6,USA
7,All,1955,58.6,USA
8,All,1956,60.2,USA
9,All,1957,59.5,USA
10,All,1958,59.3,USA
11,All,1959,59.3,USA
12,All,1960,59.1,USA
13,All,1961,59.6,USA
14,All,1962,58.8,USA
15,All,1963,58.6,USA
16,All,1964,58.6,USA
17,All,1965,58.6,USA
18,All,1966,59.0,USA
19,All,1967,59.5,USA
20,All,1968,59.2,USA
21,All,1969,59.6,USA
22,All,1970,60.4,USA
23,All,1971,60.4,USA
24,All,1972,60.2,USA
25,All,1973,60.0,USA
26,All,1974,61.3,USA
27,All,1975,61.4,USA
28,All,1976,61.3,USA
29,All,1977,61.6,USA
30,All,1978,62.8,USA
31,All,1979,63.6,USA
32,All,1980,64.0,USA
33,All,1981,63.9,USA
34,All,1982,63.7,USA
35,All,1983,63.9,USA
36,All,1984,63.9,USA
37,All,1985,64.7,USA
38,All,1986,64.9,USA
39,All,1987,65.4,USA
40,All,1988,65.8,USA
41,All,1989,66.5,USA
42,All,1990,66.8,USA
43,All,1991,66.2,USA
44,All,1992,66.3,USA
45,All,1993,66.2,USA
46,All,1994,66.6,USA
47,All,1995,66.8,USA
48,All,1996,66.4,USA
49,All,1997,67.0,USA
50,All,1998,67.1,USA
51,All,1999,67.2,USA
52,All,2000,67.3,USA
53,All,2001,67.2,USA
54,All,2002,66.5,USA
55,All,2003,66.4,USA
56,All,2004,66.1,USA
57,All,2005,65.8,USA
58,All,2006,66.0,USA
59,All,2007,66.4,USA
60,All,2008,66.2,USA
61,All,2009,65.7,USA
62,All,2010,64.8,USA
63,All,2011,64.2,USA
64,All,2012,63.7,USA
65,All,2013,63.7,USA
66,All,2014,62.9,USA
67,All,2015,62.9,USA
68,All,2016,62.7,USA
69,All,2017,62.8,USA
70,All,2018,62.7,USA
71,All,2019,63.1,USA
72,All,2020,63.3,USA
73,All,2021,61.3,USA
74,All,2022,62.2,USA
75,All,2023,62.4,USA
76,Men,1948,86.7,USA
77,Men,1949,86.5,USA
78,Men,1950,86.2,USA
79,Men,1951,86.0,USA
80,Men,1952,86.8,USA
81,Men,1953,86.5,USA
82,Men,1954,85.8,USA
83,Men,1955,85.0,USA
84,Men,1956,86.1,USA
85,Men,1957,84.8,USA
86,Men,1958,84.1,USA
87,Men,1959,83.8,USA
88,Men,1960,83.6,USA
89,Men,1961,83.4,USA
90,Men,1962,82.2,USA
91,Men,1963,81.4,USA
92,Men,1964,81.0,USA
93,Men,1965,80.7,USA
94,Men,1966,80.5,USA
95,Men,1967,80.5,USA
96,Men,1968,79.8,USA
97,Men,1969,79.8,USA
98,Men,1970,79.9,USA
99,Men,1971,79.4,USA
100,Men,1972,78.8,USA
101,Men,1973,78.4,USA
102,Men,1974,79.5,USA
103,Men,1975,78.3,USA
104,Men,1976,77.4,USA
105,Men,1977,77.3,USA
106,Men,1978,77.9,USA
107,Men,1979,78.2,USA
108,Men,1980,77.8,USA
109,Men,1981,77.3,USA
110,Men,1982,76.6,USA
111,Men,1983,76.1,USA
112,Men,1984,76.1,USA
113,Men,1985,76.3,USA
114,Men,1986,76.2,USA
115,Men,1987,76.3,USA
