,Series ID,Year,Value,LOCATION
0,All,1948,0.586,USA
1,All,1949,0.5870000000000001,USA
2,All,1950,0.589,USA
3,All,1951,0.591,USA
4,All,1952,0.595,USA
5,All,1953,0.595,USA
6,All,1954,0.586,USA
7,All,1955,0.586,USA
8,All,1956,0.602,USA
9,All,1957,0.595,USA
10,All,1958,0.593,USA
11,All,1959,0.593,USA
12,All,1960,0.591,USA
13,All,1961,0.596,USA
14,All,1962,0.588,USA
15,All,1963,0.586,USA
16,All,1964,0.586,USA
17,All,1965,0.586,USA
18,All,1966,0.59,USA
19,All,1967,0.595,USA
20,All,1968,0.5920000000000001,USA
21,All,1969,0.596,USA
22,All,1970,0.604,USA
23,All,1971,0.604,USA
24,All,1972,0.602,USA
25,All,1973,0.6,USA
26,All,1974,0.613,USA
27,All,1975,0.614,USA
28,All,1976,0.613,USA
29,All,1977,0.616,USA
30,All,1978,0.628,USA
31,All,1979,0.636,USA
32,All,1980,0.64,USA
33,All,1981,0.639,USA
34,All,1982,0.637,USA
35,All,1983,0.639,USA
36,All,1984,0.639,USA
37,All,1985,0.647,USA
38,All,1986,0.649,USA
39,All,1987,0.654,USA
40,All,1988,0.6579999999999999,USA
41,All,1989,0.665,USA
42,All,1990,0.6679999999999999,USA
43,All,1991,0.662,USA
44,All,1992,0.6629999999999999,USA
45,All,1993,0.662,USA
46,All,1994,0.6659999999999999,USA
47,All,1995,0.6679999999999999,USA
48,All,1996,0.664,USA
49,All,1997,0.67,USA
50,All,1998,0.6709999999999999,USA
51,All,1999,0.672,USA
52,All,2000,0.6729999999999999,USA
53,All,2001,0.672,USA
54,All,2002,0.665,USA
55,All,2003,0.664,USA
56,All,2004,0.6609999999999999,USA
57,All,2005,0.6579999999999999,USA
58,All,2006,0.66,USA
59,All,2007,0.664,USA
60,All,2008,0.662,USA
61,All,2009,0.657,USA
62,All,2010,0.648,USA
63,All,2011,0.642,USA
64,All,2012,0.637,USA
65,All,2013,0.637,USA
66,All,2014,0.629,USA
67,All,2015,0.629,USA
68,All,2016,0.627,USA
69,All,2017,0.628,USA
70,All,2018,0.627,USA
71,All,2019,0.631,USA
72,All,2020,0.633,USA
73,All,2021,0.613,USA
74,All,2022,0.622,USA
75,All,2023,0.624,USA
76,Men,1948,0.867,USA
77,Men,1949,0.865,USA
78,Men,1950,0.862,USA
79,Men,1951,0.86,USA
80,Men,1952,0.868,USA
81,Men,1953,0.865,USA
82,Men,1954,0.858,USA
83,Men,1955,0.85,USA
84,Men,1956,0.861,USA
85,Men,1957,0.848,USA
86,Men,1958,0.841,USA
87,Men,1959,0.838,USA
88,Men,1960,0.836,USA
89,Men,1961,0.8340000000000001,USA
90,Men,1962,0.8220000000000001,USA
91,Men,1963,0.8140000000000001,USA
92,Men,1964,0.81,USA
93,Men,1965,0.807,USA
94,Men,1966,0.805,USA
95,Men,1967,0.805,USA
96,Men,1968,0.7979999999999999,USA
97,Men,1969,0.7979999999999999,USA
98,Men,1970,0.799,USA
99,Men,1971,0.794,USA
100,Men,1972,0.7879999999999999,USA
101,Men,1973,0.784,USA
102,Men,1974,0.795,USA
103,Men,1975,0.7829999999999999,USA
104,Men,1976,0.774,USA
105,Men,1977,0.773,USA
106,Men,1978,0.779,USA
107,Men,1979,0.782,USA
108,Men,1980,0.778,USA
