,Year,Original Name,value,Global GDP,percentage
0,1960,Australia,205000837562.694,8509615886454.817,0.024090492484978566
1,1961,Australia,210090303315.231,8842199759037.922,0.023759958951446482
2,1962,Australia,212810156017.997,9310481229585.465,0.02285705225866956
3,1963,Australia,226038663748.532,9790702259521.26,0.023087073608914415
4,1964,Australia,241816300668.972,10432203240096.818,0.023179791948409908
5,1965,Australia,256277974374.387,11030164412586.125,0.023234284167329127
6,1966,Australia,262374928668.493,11677006408386.793,0.022469365819654523
7,1967,Australia,278917524161.586,12162266531514.807,0.02293302185401514
8,1968,Australia,293125677113.996,12969530807906.799,0.02260110110809048
9,1969,Australia,313778093137.75,13720926265245.145,0.022868579501993547
10,1970,Australia,336294546143.142,15721452634723.645,0.021390806177819428
11,1971,Australia,349749464025.928,16389206325984.797,0.021340231922726265
12,1972,Australia,363425663028.39,17305260564259.117,0.021000877835898057
13,1973,Australia,372945147488.072,18409282179237.074,0.020258538266565252
14,1974,Australia,388261904195.678,18745360470339.18,0.020712426672723928
15,1975,Australia,393450287005.023,18920644358504.438,0.02079476150758974
16,1976,Australia,403635812980.55,19921299259238.04,0.020261520482574614
17,1977,Australia,418145846135.961,20800499416368.227,0.02010268300610685
18,1978,Australia,421880514569.69,21652292209205.65,0.019484334983726297
19,1979,Australia,438966787515.76,22547605305337.36,0.019468443835667548
20,1980,Australia,452292014146.286,23402014710452.242,0.01932705451827081
21,1981,Australia,467396282361.488,23857380399675.453,0.019591265869569077
22,1982,Australia,482936518345.587,23948885683595.227,0.020165302249381657
23,1983,Australia,472193393257.235,24572837619215.027,0.019216071036419403
24,1984,Australia,493875279390.738,25746906924074.73,0.01918192662315248
25,1985,Australia,519943221095.028,26710420980087.812,0.019465931348765984
26,1986,Australia,540565595642.27,27622286354207.55,0.01956990774443726
27,1987,Australia,554400061935.625,28828124472187.57,0.01923122201274287
28,1988,Australia,586318764370.409,30179081108119.156,0.019427985970476423
29,1989,Australia,609041111397.75,32500407108040.68,0.018739491766153037
30,1990,Australia,630823380025.941,34035570922146.652,0.018534238237662988
31,1991,Australia,628406872964.054,34590690017078.93,0.01816693661368947
32,1992,Australia,631100347785.005,35359079190278.03,0.01784832530250182
33,1993,Australia,656643662728.74,35979407329089.234,0.01825054139226595
34,1994,Australia,682784143608.023,37152453490009.11,0.018377901846822434
35,1995,Australia,709324689028.176,38569136843817.61,0.018390992048915304
36,1996,Australia,736682216065.674,39944510926184.84,0.018442639526292368
37,1997,Australia,765507379138.636,42495979157685.61,0.01801364256835085
38,1998,Australia,800822966576.12,43711875686072.875,0.018320489661148805
39,1999,Australia,840514351519.241,45310401018022.46,0.018550141526774873
40,2000,Australia,873304256772.879,47376894269236.83,0.0184331258990934
41,2001,Australia,891132041285.544,48346601240146.15,0.018432154865636426
42,2002,Australia,926720200168.456,49458013392898.16,0.018737513632149386
43,2003,Australia,955554155868.69,50988456954053.82,0.018740597636240468
44,2004,Australia,995846370342.055,53239516497223.04,0.01870502280752302
45,2005,Australia,1027252902238.25,55353650416971.33,0.01855799743106547
46,2006,Australia,1055406162043.85,57780047328728.945,0.018265927614065647
47,2007,Australia,1095278528564.99,60285207816475.87,0.018168279885495422
48,2008,Australia,1134361024069.53,61557882717691.64,0.018427551013601
49,2009,Australia,1155579099114.44,60732455333372.03,0.01902737330100102
50,2010,Australia,1181077718202.88,63436183446950.984,0.018618360279990136
51,2011,Australia,1209321835156.96,65517911008592.41,0.018457881463869664
52,2012,Australia,1256509667568.29,67289476929364.234,0.01867319713136254
53,2013,Australia,1288911964503.03,69176772533305.99,0.018632149452801772
54,2014,Australia,1322153224623.29,71309007536300.45,0.01854118112568369
55,2015,Australia,1350615691821.28,73538145625813.94,0.018366191863113505
56,2016,Australia,1387494901475.28,75582990729964.86,0.018357237363527717
57,2017,Australia,1419160083157.06,78135408518116.25,0.018162829248253277
58,2018,Australia,1460075108728.85,80706893831004.47,0.018091082922682692
59,2019,Australia,1491779124514.41,82780615837913.9,0.018020874928441497
60,2020,Australia,1491020027693.27,80173429111037.55,0.018597433641365853
61,2021,Australia,1524362403027.16,84737960665091.25,0.017989132509948852
62,1960,Brazil,188464088773.788,8509615886454.817,0.02214719104698671
63,1961,Brazil,204672000408.334,8842199759037.922,0.023147181242895085
64,1962,Brazil,218180352435.284,9310481229585.465,0.023433842682801707
65,1963,Brazil,219489434549.896,9790702259521.26,0.022418150274812716
66,1964,Brazil,226952075324.592,10432203240096.818,0.021754951480650576
67,1965,Brazil,232398925132.383,11030164412586.125,0.021069398101373805
68,1966,Brazil,247969653116.252,11677006408386.793,0.02123572124942506
69,1967,Brazil,258384378547.135,12162266531514.807,0.021244755480206805
70,1968,Brazil,283706047644.754,12969530807906.799,0.02187481196095346
71,1969,Brazil,310658122171.006,13720926265245.145,0.022641191721720518
72,1970,Brazil,342966566876.79,15721452634723.645,0.021815195761191106
73,1971,Brazil,381868997020.349,16389206325984.797,0.023300029874839177
74,1972,Brazil,427465484612.615,17305260564259.117,0.024701476353119325
75,1973,Brazil,487176948862.304,18409282179237.074,0.026463658067654966
76,1974,Brazil,526901058557.905,18745360470339.18,0.028108344963097488
77,1975,Brazil,554124187273.806,18920644358504.438,0.029286750322789018
78,1976,Brazil,610961422946.065,19921299259238.04,0.030668753829534778
79,1977,Brazil,641108263934.078,20800499416368.227,0.030821772645976964
80,1978,Brazil,672970688728.912,21652292209205.65,0.031080805774586443
81,1979,Brazil,718460547037.255,22547605305337.36,0.03186416195014663
82,1980,Brazil,784558917364.681,23402014710452.242,0.03352527237811994
83,1981,Brazil,751215163376.685,23857380399675.453,0.031487747220851806
84,1982,Brazil,757450249232.708,23948885683595.227,0.03162778674715353
85,1983,Brazil,735256956930.19,24572837619215.027,0.02992153239783943
86,1984,Brazil,774960832604.42,25746906924074.73,0.030099181812002062
87,1985,Brazil,835795257963.87,26710420980087.812,0.03129098034759324
88,1986,Brazil,898396322785.362,27622286354207.55,0.032524328770797584
89,1987,Brazil,930109712979.684,28828124472187.57,0.032263968954242
90,1988,Brazil,929551647151.897,30179081108119.156,0.030801191190072956
91,1989,Brazil,958925479201.9,32500407108040.68,0.02950502976821664
92,1990,Brazil,917212220856.615,34035570922146.652,0.026948636265119705
93,1991,Brazil,926679589877.167,34590690017078.93,0.026789855577313577
94,1992,Brazil,921637785237.654,35359079190278.03,0.026065095764458087
95,1993,Brazil,967025589117.641,35979407329089.234,0.026877196177042192
96,1994,Brazil,1023624343217.9,37152453490009.11,0.027551998510493232
97,1995,Brazil,1066860123057.74,38569136843817.61,0.027660980005279816
98,1996,Brazil,1090425612783.91,39944510926184.84,0.027298509544877236
99,1997,Brazil,1127443882933.16,42495979157685.61,0.026530601371712505
100,1998,Brazil,1131255747038.65,43711875686072.875,0.025879826232189835
101,1999,Brazil,1136549317651.98,45310401018022.46,0.02508362963284989
102,2000,Brazil,1186420527155.95,47376894269236.83,0.025042176053450736
103,2001,Brazil,1202910543363.1,48346601240146.15,0.024880974308577143
104,2002,Brazil,1239640958003.7,49458013392898.16,0.025064511753755646
105,2003,Brazil,1253783141526.78,50988456954053.82,0.024589548623849822
106,2004,Brazil,1326000607099.75,53239516497223.04,0.024906323241476354
107,2005,Brazil,1368460897672.78,55353650416971.33,0.024722143659259236
108,2006,Brazil,1422679163956.12,57780047328728.945,0.02462232604037253
109,2007,Brazil,1509033948357.92,60285207816475.87,0.025031579105637636
110,2008,Brazil,1585907087042.63,61557882717691.64,0.02576285955635772
111,2009,Brazil,1583911825584.01,60732455333372.03,0.02608015462061621
112,2010,Brazil,1703152284574.41,63436183446950.984,0.02684827793902016
113,2011,Brazil,1770842762050.66,65517911008592.41,0.02702837643615379
114,2012,Brazil,1804863767940.85,67289476929364.234,0.026822377737242175
115,2013,Brazil,1859096723592.52,69176772533305.99,0.026874580231354903
