,Year,Original Name,value,Global GDP,percentage
0,1960,China,158907168210.357,8510564181760.818,0.018671754870366236
1,1961,China,115573183433.159,8843278258586.55,0.013069042955980832
2,1962,China,109124199808.912,9311743785091.14,0.011718986510735907
3,1963,China,120363992385.387,9792305722951.89,0.012291690618203377
4,1964,China,142246166193.496,10434066798856.98,0.013632859453140422
5,1965,China,166356891368.928,11032318381860.7,0.015079050985552725
6,1966,China,184073900297.069,11679469673249.268,0.015760467336858028
7,1967,China,173452836242.473,12165078201253.305,0.01425825904058743
8,1968,China,166341269979.928,12972591350359.57,0.01282251675763435
9,1969,China,194519481107.989,13724285269946.695,0.014173377868641791
10,1970,China,232061740955.439,15724773908556.592,0.01475771558338039
11,1971,China,248445299863.509,16392446159037.156,0.01515608454364458
12,1972,China,257911065788.84,17308176033694.164,0.014901111780164443
13,1973,China,277924964496.186,18412379606081.59,0.015094462011004143
14,1974,China,284345031184.263,18747431942961.79,0.015167145668237113
15,1975,China,309139917896.427,18925016605294.285,0.016334987933904636
16,1976,China,304286421180.249,19926482613224.258,0.015270453249903152
17,1977,China,327320903267.764,20806859276521.785,0.015731394100267165
18,1978,China,364393196721.71,21659471014495.984,0.01682373482149372
19,1979,China,392055467396.687,22556231086944.87,0.017381248927867275
20,1980,China,422769661255.457,23410724260269.324,0.018058803160265546
21,1981,China,444384863998.942,23865095149342.9,0.018620703635081788
22,1982,China,484455553401.509,23956372571122.914,0.020222408545502134
23,1983,China,536632397557.183,24580561675670.227,0.021831575886581155
24,1984,China,618155123011.759,25755751276900.48,0.024000663632986814
25,1985,China,701177544159.34,26720038890219.6,0.02624163636288694
26,1986,China,763932666262.02,27632691171141.727,0.027645974166274297
27,1987,China,852987565219.692,28839288292924.5,0.02957727515865799
28,1988,China,948714904915.565,30191044475133.016,0.03142371923227029
29,1989,China,988621025896.57,32513499259129.336,0.030406478798770915
30,1990,China,1027377455186.3,34049190603511.766,0.030173329731965445
31,1991,China,1122541231141.84,34603921748072.023,0.03243971129383285
32,1992,China,1282217440753.01,35372794074362.84,0.036248689828048485
33,1993,China,1460237039290.75,35993295549291.34,0.04056969546706317
34,1994,China,1650605318482.01,37167586288728.29,0.04440980658952783
35,1995,China,1831411871435.46,38585419563534.19,0.04746383199021288
36,1996,China,2013134753757.7,39961157062542.54,0.05037728889098422
37,1997,China,2199083579885.44,42513671482064.86,0.05172650357457746
38,1998,China,2371622617326.55,43729465273793.16,0.05423397250521266
39,1999,China,2553328077171.96,45329967613303.25,0.056327595443121825
40,2000,China,2770108015885.86,47397341947797.664,0.05844437476972428
41,2001,China,3001016837148.73,48367712951721.984,0.06204587014780255
42,2002,China,3275118634996.31,49479708724273.44,0.06619114621807835
43,2003,China,3603876041860.81,51010396553668.95,0.0706498338641439
44,2004,China,3968358419663.33,53262192216075.734,0.07450610375863556
45,2005,China,4420536663136.43,55377047062544.07,0.07982615357124004
46,2006,China,4982871172216.7,57804016713112.836,0.08620285328867702
47,2007,China,5691976639219.75,60310946820299.06,0.09437717262472128
48,2008,China,6241291028834.91,61588207348380.59,0.10133905982244862
49,2009,China,6827892848566.12,60761130196040.09,0.11237270976587439
50,2010,China,7554098728364.74,63464856456966.18,0.11902805978119516
51,2011,China,8275578020536.57,65546907190100.72,0.1262542868199035
52,2012,China,8926347665673.95,67317102238391.95,0.1326014841527614
53,2013,China,9619581223626.48,69203081131143.02,0.13900510015438375
54,2014,China,10333908590021.3,71334607197697.25,0.14486529043864826
55,2015,China,11061553079876.4,73565370506847.58,0.1503635882435578
56,2016,China,11819132546490.1,75613121213635.88,0.1563106026677109
57,2017,China,12640231416521.9,78167965811255.2,0.1617060298977598
58,2018,China,13493418449047.0,80741680002289.33,0.16711837614308261
59,2019,China,14296344415554.0,82817351447573.39,0.1726249893973504
60,2020,China,14616539906901.3,80206244345524.53,0.1822369321263064
61,2021,China,15801910975837.0,84774691077865.72,0.18639892136348707
62,1960,Germany,0.0,8510564181760.818,0.0
63,1961,Germany,0.0,8843278258586.55,0.0
64,1962,Germany,0.0,9311743785091.14,0.0
65,1963,Germany,0.0,9792305722951.89,0.0
66,1964,Germany,0.0,10434066798856.98,0.0
67,1965,Germany,0.0,11032318381860.7,0.0
68,1966,Germany,0.0,11679469673249.268,0.0
69,1967,Germany,0.0,12165078201253.305,0.0
70,1968,Germany,0.0,12972591350359.57,0.0
71,1969,Germany,0.0,13724285269946.695,0.0
72,1970,Germany,1398784449060.79,15724773908556.592,0.08895418510911915
73,1971,Germany,1442604165833.27,16392446159037.156,0.0880042033896181
74,1972,Germany,1504641069065.52,17308176033694.164,0.08693238768408675
75,1973,Germany,1576525098914.39,18412379606081.59,0.08562310427239211
76,1974,Germany,1590557256007.34,18747431942961.79,0.08484134044846987
77,1975,Germany,1576771277634.57,18925016605294.285,0.08331677115641037
78,1976,Germany,1654809762173.58,19926482613224.258,0.08304575344749311
79,1977,Germany,1710199854384.86,20806859276521.785,0.08219404147720792
80,1978,Germany,1761651094839.98,21659471014495.984,0.08133398519571249
81,1979,Germany,1834766016070.68,22556231086944.87,0.08134186996925247
82,1980,Germany,1860614725103.57,23410724260269.324,0.07947702533326771
83,1981,Germany,1870461852829.7,23865095149342.9,0.07837646743600774
84,1982,Germany,1863076506757.72,23956372571122.914,0.07776955802580388
85,1983,Germany,1892371711215.94,24580561675670.227,0.07698651219548837
86,1984,Germany,1945792376994.39,25755751276900.48,0.07554787884364723
87,1985,Germany,1991089163868.88,26720038890219.6,0.07451670156803862
88,1986,Germany,2036632127244.51,27632691171141.727,0.0737037197944539
89,1987,Germany,2065188797761.24,28839288292924.5,0.07161025531507026
90,1988,Germany,2141750213307.76,30191044475133.016,0.07093991779820079
91,1989,Germany,2225204617485.91,32513499259129.336,0.06843940726746303
92,1990,Germany,2342139255489.1,34049190603511.766,0.06878692896880599
93,1991,Germany,2461781853866.62,34603921748072.023,0.07114170098375568
94,1992,Germany,2509123803633.37,35372794074362.84,0.07093371810998411
95,1993,Germany,2484613432320.15,35993295549291.34,0.06902989555145272
96,1994,Germany,2544042703990.73,37167586288728.29,0.06844788586021941
97,1995,Germany,2583326450250.06,38585419563534.19,0.06695084515010631
98,1996,Germany,2604143486148.1,39961157062542.54,0.06516686896909413
99,1997,Germany,2650813925428.06,42513671482064.86,0.06235203484004793
100,1998,Germany,2704199536146.72,43729465273793.16,0.061839300325662414
101,1999,Germany,2755234843518.92,45329967613303.25,0.060781751864969896
102,2000,Germany,2835481139992.39,47397341947797.664,0.05982363194787006
103,2001,Germany,2883158861645.24,48367712951721.984,0.05960916251142683
104,2002,Germany,2877450961484.29,49479708724273.44,0.058154161284961016
105,2003,Germany,2857305447168.18,51010396553668.95,0.05601417828936025
106,2004,Germany,2890881304361.69,53262192216075.734,0.054276423558269477
107,2005,Germany,2912034089955.56,55377047062544.07,0.05258557912390388
108,2006,Germany,3023170179485.12,57804016713112.836,0.05230034781993471
109,2007,Germany,3113153483420.82,60310946820299.06,0.051618381861864834
110,2008,Germany,3143035994104.02,61588207348380.59,0.05103308132229089
111,2009,Germany,2964076668605.51,60761130196040.09,0.04878244790776923
112,2010,Germany,3087971590525.68,63464856456966.18,0.04865640234480875
113,2011,Germany,3209180426118.17,65546907190100.72,0.04896005873794819
114,2012,Germany,3222610768995.58,67317102238391.95,0.04787209582467257
115,2013,Germany,3236712633454.9,69203081131143.02,0.046771221462252245
