,Year,cume,Country,Million tonnes of carbon dioxide
0,1965,1346.8879397980656,Rest of the World,1346.8879397980656
1,1966,2758.0072479027895,Rest of the World,1411.1193081047238
2,1967,4215.746175679257,Rest of the World,1457.7389277764678
3,1968,5785.669529363924,Rest of the World,1569.9233536846668
4,1969,7454.122092291471,Rest of the World,1668.4525629275468
5,1970,9220.688310259386,Rest of the World,1766.5662179679148
6,1971,11043.604979896298,Rest of the World,1822.916669636912
7,1972,12962.267441577618,Rest of the World,1918.6624616813206
8,1973,14980.057352844256,Rest of the World,2017.7899112666382
9,1974,16962.128405888405,Rest of the World,1982.0710530441484
10,1975,18970.683967591576,Rest of the World,2008.5555617031714
11,1976,21120.848066985433,Rest of the World,2150.1640993938563
12,1977,23350.913237205084,Rest of the World,2230.065170219652
13,1978,25667.552219837875,Rest of the World,2316.6389826327904
14,1979,28076.02533105907,Rest of the World,2408.4731112211957
15,1980,30504.279468722718,Rest of the World,2428.2541376636473
16,1981,32909.09948729006,Rest of the World,2404.820018567345
17,1982,35323.84652692048,Rest of the World,2414.7470396304197
18,1983,37755.730700350134,Rest of the World,2431.884173429651
19,1984,40238.55037560339,Rest of the World,2482.819675253253
20,1985,43388.39399037932,Rest of the World,3149.843614775935
21,1986,46660.246155537556,Rest of the World,3271.852165158234
22,1987,50028.28868202364,Rest of the World,3368.0425264860824
23,1988,53493.44503485807,Rest of the World,3465.156352834434
24,1989,57047.60500851362,Rest of the World,3554.159973655551
25,1990,60670.09444107069,Rest of the World,3622.489432557064
26,1991,64274.89553800889,Rest of the World,3604.801096938201
27,1992,67934.07427954655,Rest of the World,3659.1787415376602
28,1993,71631.2084459371,Rest of the World,3697.1341663905478
29,1994,75409.77165748803,Rest of the World,3778.563211550936
30,1995,79301.30927416227,Rest of the World,3891.5376166742353
31,1996,83331.36739405087,Rest of the World,4030.0581198886066
32,1997,87453.88945734431,Rest of the World,4122.522063293436
33,1998,91592.12552402075,Rest of the World,4138.236066676443
34,1999,95724.54328928195,Rest of the World,4132.417765261198
35,2000,99966.18112743193,Rest of the World,4241.637838149982
36,2001,104330.49248012788,Rest of the World,4364.31135269595
37,2002,108778.92325963368,Rest of the World,4448.430779505798
38,2003,113408.82144025713,Rest of the World,4629.8981806234515
