,Year,cume,Country,Million tonnes of carbon dioxide
0,1965,2134.550034261791,Rest of the World,2134.550034261791
1,1966,4363.749316952066,Rest of the World,2229.1992826902747
2,1967,6677.342905914379,Rest of the World,2313.5935889623133
3,1968,9161.426112112202,Rest of the World,2484.0832061978226
4,1969,11801.935494277917,Rest of the World,2640.5093821657156
5,1970,14611.129301917841,Rest of the World,2809.1938076399238
6,1971,17528.342919953608,Rest of the World,2917.2136180357666
7,1972,20611.628463529058,Rest of the World,3083.28554357545
8,1973,23894.84274326719,Rest of the World,3283.214279738131
9,1974,27208.949610442312,Rest of the World,3314.1068671751236
10,1975,30613.003023194357,Rest of the World,3404.053412752044
11,1976,34257.24057188126,Rest of the World,3644.2375486869023
12,1977,38057.70632428337,Rest of the World,3800.4657524021095
13,1978,42009.083160068185,Rest of the World,3951.3768357848166
14,1979,46154.900832362466,Rest of the World,4145.817672294281
15,1980,50377.68426939353,Rest of the World,4222.783437031067
16,1981,54596.348551289055,Rest of the World,4218.664281895522
17,1982,58889.42692796151,Rest of the World,4293.078376672456
18,1983,63230.68004196011,Rest of the World,4341.253113998602
19,1984,67721.85131353803,Rest of the World,4491.171271577921
20,1985,73633.08096487413,Rest of the World,5911.2296513360925
21,1986,79704.8970929276,Rest of the World,6071.81612805347
22,1987,85961.92784447587,Rest of the World,6257.030751548271
23,1988,92345.97563767538,Rest of the World,6384.047793199512
24,1989,98822.05162459817,Rest of the World,6476.075986922791
25,1990,105478.13819174678,Rest of the World,6656.08656714861
26,1991,112134.3569638067,Rest of the World,6656.218772059918
27,1992,118808.29743020305,Rest of the World,6673.9404663963505
28,1993,125461.27968912489,Rest of the World,6652.982258921838
29,1994,132238.70834529743,Rest of the World,6777.428656172546
30,1995,139199.31945387024,Rest of the World,6960.611108572804
31,1996,146358.79595546535,Rest of the World,7159.4765015951125
32,1997,153693.92033481592,Rest of the World,7335.124379350571
33,1998,161014.33280303088,Rest of the World,7320.412468214956
34,1999,168428.709077581,Rest of the World,7414.37627455013
35,2000,176018.32738703268,Rest of the World,7589.618309451675
