,Year,Cumulative global emissions,cume,Country,Million tonnes of carbon dioxide,ranked,pct
0,1965,11001.518840048726,2134.550034261791,Rest of the World,2134.550034261791,1.0,0.19402321309412376
1,1966,11497.002495872768,4363.749316952066,Rest of the World,2229.1992826902747,1.0,0.19389395483653413
2,1967,11851.263252096604,6677.342905914379,Rest of the World,2313.5935889623133,1.0,0.19521915425792405
3,1968,12483.67243368634,9161.426112112202,Rest of the World,2484.0832061978226,1.0,0.19898657381418414
4,1969,13255.523020558425,11801.935494277917,Rest of the World,2640.5093821657156,1.0,0.19920069378405236
5,1970,14033.98414552271,14611.129301917841,Rest of the World,2809.1938076399238,1.0,0.2001707981504416
6,1971,14481.784815768166,17528.342919953608,Rest of the World,2917.2136180357666,1.0,0.20144019919833528
7,1972,15165.882364461551,20611.628463529058,Rest of the World,3083.28554357545,1.0,0.20330406563092968
8,1973,16016.650206785453,23894.84274326719,Rest of the World,3283.214279738131,1.0,0.20498757463949593
9,1974,15911.427837435984,27208.949610442312,Rest of the World,3314.1068671751236,1.0,0.20828469330563668
10,1975,15879.888805750468,30613.003023194357,Rest of the World,3404.053412752044,1.0,0.21436254714323685
11,1976,16725.956476515323,34257.24057188126,Rest of the World,3644.2375486869023,1.0,0.21787917204039867
12,1977,17256.431650625585,38057.70632428337,Rest of the World,3800.4657524021095,1.0,0.22023474084019762
13,1978,17590.068223007984,42009.083160068185,Rest of the World,3951.3768357848166,1.0,0.2246368112783313
14,1979,18128.59181285465,46154.900832362466,Rest of the World,4145.817672294281,1.0,0.22868944897057905
15,1980,17930.641592885288,50377.68426939353,Rest of the World,4222.783437031067,1.0,0.23550654421125833
16,1981,17685.978926646443,54596.348551289055,Rest of the World,4218.664281895522,1.0,0.23853156782514903
17,1982,17515.03577723725,58889.42692796151,Rest of the World,4293.078376672456,1.0,0.24510817056119244
18,1983,17637.730050881328,63230.68004196011,Rest of the World,4341.253113998602,1.0,0.24613445729552239
19,1984,18313.856728539686,67721.85131353803,Rest of the World,4491.171271577921,1.0,0.24523350477996447
20,1985,18578.96389625685,73633.08096487413,Rest of the World,5911.2296513360925,1.0,0.31816788516000305
21,1986,18896.077293196173,79704.8970929276,Rest of the World,6071.81612805347,1.0,0.32132680417430987
22,1987,19498.72349879714,85961.92784447587,Rest of the World,6257.030751548271,1.0,0.32089437813374105
23,1988,20144.453079073286,92345.97563767538,Rest of the World,6384.047793199512,1.0,0.31691343359584523
24,1989,20522.94924718655,98822.05162459817,Rest of the World,6476.075986922791,1.0,0.31555289198069736
25,1990,20674.113562623403,105478.13819174678,Rest of the World,6656.08656714861,1.0,0.3219526944643521
26,1991,20723.465039529678,112134.3569638067,Rest of the World,6656.218772059918,1.0,0.32119236620725766
27,1992,20836.666016816507,118808.29743020305,Rest of the World,6673.9404663963505,1.0,0.32029790471326164
28,1993,20924.77615374221,125461.27968912489,Rest of the World,6652.982258921838,1.0,0.317947595235422
29,1994,21170.297454490697,132238.70834529743,Rest of the World,6777.428656172546,1.0,0.3201385654000294
30,1995,21463.942458949707,139199.31945387024,Rest of the World,6960.611108572804,1.0,0.3242932244104333
31,1996,22062.89643347672,146358.79595546535,Rest of the World,7159.4765015951125,1.0,0.32450301904748174
32,1997,22204.1288262245,153693.92033481592,Rest of the World,7335.124379350571,1.0,0.33034956862109893
33,1998,22260.472883029448,161014.33280303088,Rest of the World,7320.412468214956,1.0,0.3288525139012552
34,1999,22556.99387282719,168428.709077581,Rest of the World,7414.37627455013,1.0,0.32869522935330947
