,Year,Value,LOCATION,Series ID,dum
0,1972,0.909,GBR,Men,1.0
1,1973,0.9159999999999999,GBR,Men,1.0
2,1974,0.912,GBR,Men,1.0
3,1975,0.905,GBR,Men,1.0
4,1976,0.892,GBR,Men,1.0
5,1977,0.884,GBR,Men,1.0
6,1978,0.877,GBR,Men,1.0
7,1979,0.8740000000000001,GBR,Men,1.0
8,1980,0.8640000000000001,GBR,Men,1.0
9,1981,0.83,GBR,Men,1.0
10,1982,0.8,GBR,Men,1.0
11,1983,0.779,GBR,Men,1.0
12,1984,0.779,GBR,Men,1.0
13,1985,0.7829999999999999,GBR,Men,1.0
14,1986,0.78,GBR,Men,1.0
15,1987,0.779,GBR,Men,1.0
16,1988,0.8,GBR,Men,1.0
17,1989,0.8170000000000001,GBR,Men,1.0
18,1990,0.825,GBR,Men,1.0
19,1991,0.8079999999999999,GBR,Men,1.0
20,1992,0.772,GBR,Men,1.0
21,1993,0.752,GBR,Men,1.0
22,1994,0.754,GBR,Men,1.0
23,1995,0.76,GBR,Men,1.0
24,1996,0.765,GBR,Men,1.0
25,1997,0.774,GBR,Men,1.0
26,1998,0.784,GBR,Men,1.0
27,1999,0.7859999999999999,GBR,Men,1.0
28,2000,0.789,GBR,Men,1.0
29,2001,0.7929999999999999,GBR,Men,1.0
30,2002,0.79,GBR,Men,1.0
31,2003,0.7909999999999999,GBR,Men,1.0
32,2004,0.794,GBR,Men,1.0
33,2005,0.794,GBR,Men,1.0
34,2006,0.789,GBR,Men,1.0
35,2007,0.7879999999999999,GBR,Men,1.0
36,2008,0.7909999999999999,GBR,Men,1.0
37,2009,0.7759999999999999,GBR,Men,1.0
38,2010,0.75,GBR,Men,1.0
39,2011,0.758,GBR,Men,1.0
40,2012,0.755,GBR,Men,1.0
41,2013,0.76,GBR,Men,1.0
42,2014,0.773,GBR,Men,1.0
43,2015,0.7829999999999999,GBR,Men,1.0
44,2016,0.792,GBR,Men,1.0
45,2017,0.7929999999999999,GBR,Men,1.0
46,2018,0.7979999999999999,GBR,Men,1.0
47,2019,0.805,GBR,Men,1.0
48,2020,0.805,GBR,Men,1.0
49,2021,0.777,GBR,Men,1.0
50,2022,0.7879999999999999,GBR,Men,1.0
0,1972,0.528,GBR,Women,1.0
1,1973,0.54,GBR,Women,1.0
2,1974,0.551,GBR,Women,1.0
3,1975,0.557,GBR,Women,1.0
4,1976,0.5539999999999999,GBR,Women,1.0
5,1977,0.5539999999999999,GBR,Women,1.0
6,1978,0.556,GBR,Women,1.0
7,1979,0.563,GBR,Women,1.0
8,1980,0.569,GBR,Women,1.0
9,1981,0.561,GBR,Women,1.0
10,1982,0.551,GBR,Women,1.0
11,1983,0.539,GBR,Women,1.0
12,1984,0.551,GBR,Women,1.0
13,1985,0.562,GBR,Women,1.0
14,1986,0.5720000000000001,GBR,Women,1.0
15,1987,0.5820000000000001,GBR,Women,1.0
16,1988,0.602,GBR,Women,1.0
17,1989,0.622,GBR,Women,1.0
18,1990,0.632,GBR,Women,1.0
19,1991,0.631,GBR,Women,1.0
20,1992,0.619,GBR,Women,1.0
21,1993,0.616,GBR,Women,1.0
22,1994,0.619,GBR,Women,1.0
23,1995,0.623,GBR,Women,1.0
24,1996,0.634,GBR,Women,1.0
25,1997,0.64,GBR,Women,1.0
26,1998,0.643,GBR,Women,1.0
27,1999,0.652,GBR,Women,1.0
28,2000,0.655,GBR,Women,1.0
29,2001,0.6609999999999999,GBR,Women,1.0
30,2002,0.6609999999999999,GBR,Women,1.0
31,2003,0.6629999999999999,GBR,Women,1.0
32,2004,0.6679999999999999,GBR,Women,1.0
33,2005,0.6709999999999999,GBR,Women,1.0
34,2006,0.6679999999999999,GBR,Women,1.0
35,2007,0.664,GBR,Women,1.0
36,2008,0.67,GBR,Women,1.0
37,2009,0.6629999999999999,GBR,Women,1.0
38,2010,0.657,GBR,Women,1.0
39,2011,0.655,GBR,Women,1.0
40,2012,0.652,GBR,Women,1.0
41,2013,0.664,GBR,Women,1.0
42,2014,0.675,GBR,Women,1.0
43,2015,0.687,GBR,Women,1.0
44,2016,0.6920000000000001,GBR,Women,1.0
45,2017,0.7,GBR,Women,1.0
46,2018,0.71,GBR,Women,1.0
47,2019,0.718,GBR,Women,1.0
48,2020,0.727,GBR,Women,1.0
49,2021,0.7170000000000001,GBR,Women,1.0
50,2022,0.721,GBR,Women,1.0
0,1984,0.755880165339641,GBR,15-24,0.0
1,1985,0.764006502802514,GBR,15-24,0.0
2,1986,0.774393995354126,GBR,15-24,0.0
3,1987,0.773588615528302,GBR,15-24,0.0
4,1988,0.777478084962913,GBR,15-24,0.0
5,1989,0.790749405538084,GBR,15-24,0.0
6,1990,0.7801884551429249,GBR,15-24,0.0
7,1991,0.766338768360059,GBR,15-24,0.0
8,1992,0.726333426417202,GBR,15-24,0.0
9,1993,0.711426914153132,GBR,15-24,0.0
10,1994,0.7010975793113821,GBR,15-24,0.0
11,1995,0.6959136468774091,GBR,15-24,0.0
12,1996,0.705114083398898,GBR,15-24,0.0
13,1997,0.7124653412191919,GBR,15-24,0.0
14,1998,0.702419728990174,GBR,15-24,0.0
15,1999,0.696992273540386,GBR,15-24,0.0
16,2000,0.695533556815501,GBR,15-24,0.0
17,2001,0.691418955112712,GBR,15-24,0.0
18,2002,0.688182603623384,GBR,15-24,0.0
19,2003,0.676977248847478,GBR,15-24,0.0
20,2004,0.678166568130287,GBR,15-24,0.0
21,2005,0.6736689256583059,GBR,15-24,0.0
22,2006,0.6703262411254469,GBR,15-24,0.0
